Nome,Calorias,Proteína,Colesterol,Carboidrato,Fibra,Ferro,Sódio,Gordura
Ovos com Bacon,230,9,150,2,1,2,200,20
Pao com Queijo minas e Peito de Peru,190,12,50,19,4,1,200,7
Vitamina de Abacate,305,8,10,20,14,0,66,31
Ovo Benedict,428,18,200,13,1,0,200,33
Salada de Fruta,170,2,0,40,5,0,17,3
Omelete,93,6,200,0,0,2,98,7
Pasta de Ricota e Torrada Integral,50,2,10,7,1,0,100,0
Smoothie de Banana com Amendoim,356,13,6,43,4,2,180,17
Queijo Quente,200,11,50,19,4,1,322,8
Panqueca de Banana com Aveia,104,4,10,16,1,1,44,3
Iogurte de Frutas,250,5,50,46,4,1,80,5
