Nome,Calorias,Proteína,Colesterol,Carboidrato,Fibra,Ferro,Sódio,Gordura,Breakfast
Polenta,103,2,0,24,3,1,400,0,FALSE
Pumpkin,48,1,0,10,3,0,1,0,FALSE
Arracacha,80,1,0,19,0,0,2,0,FALSE
Sweet-Potato,77,1,0,18,2,0,3,0,FALSE
Broccoli,25,2,0,4,3,0,2,0,FALSE
Cassava,125,0,0,30,1,0,1,0,FALSE
Gnocchie,181,6,15,37,2,2,7,2,FALSE
Beans,77,5,0,14,8,2,2,0,FALSE
Rice,128,3,0,28,2,0,1,0,FALSE
Brown Rice,124,3,0,26,3,0,1,1,FALSE
Lentil,93,6,0,16,8,2,1,0,FALSE
Tabouleh,57,2,0,10,2,0,1,1,FALSE
Purple Cabbage,31,2,0,7,2,0,2,0,FALSE
Fruit Salad,100,1,0,21,6,0,3,2,TRUE
Avocado,160,9,4,9,7,0,0,10,TRUE
Wheat Toast,116,4,0,21,0,0,85,1,TRUE
Fruit Yogurt,170,5,2,29,0,0,50,3,TRUE
Oatmeal,50,2,0,15,1,0,0,0,TRUE
